text,target,p_disaster,p_non_disaster
Strolling through the vibrant streets of Barcelona and stumbled upon a tiny bookstore with the most enchanting collection of vintage novels. 📚💖 #HiddenTreasures #TravelReads,0,0.0,1.0
"Hurricane Maria devastates Puerto Rico—power grids down, floods everywhere. Stay safe everyone. #HurricaneAlert 🌀",1,0.99,0.01
"Wildfires rage across Australia, engulfing entire towns in flames. Thousands evacuated as skies turn orange. #AustraliaFires #ClimateEmergency 🔥",1,0.99,0.01
"A group of ducks just formed a perfect line and waddled across the street in Kyoto, holding up traffic like tiny feathered traffic cops. 🦆🚦 #DuckCrossing #KyotoMoments",0,0.0,1.0
"Massive earthquake strikes Indonesia, toppling buildings and leaving hundreds trapped. Rescue efforts underway amid aftershocks. #QuakeCrisis 🌍💔",1,0.99,0.01
Watching the sunset over Cape Town's beaches with a cup of rooibos tea—pure serenity. 🌅 #SouthAfricaViews #ChillMode,0,0.0,1.0
Tsunami warnings issued after 8.6 magnitude quake hits Chile. Coastal evacuations in progress. #DisasterAlert 🌊,1,0.99,0.01
"Tornado tears through Oklahoma suburbs, flipping cars and shredding homes like paper. Stay safe, Midwest! #OklaTwister 🌪️🚗",1,0.95,0.05
Just had the most amazing sushi in Tokyo! The freshness was unreal. #FoodieAdventures #JapanTravel 🍣,0,0.0,1.0
"Tragedy strikes as wildfire engulfs rural Alberta, forcing entire communities to flee. Air quality hazardous, shelters overwhelmed. #AlbertaFires #CanadaBurns 🔥🌲",1,0.98,0.02
"A massive earthquake strikes Nepal, reducing ancient temples to rubble. Rescue teams race against time. #NepalQuake 🏔️💔",1,0.99,0.01
Avalanche buries villages in the Swiss Alps overnight—rescue teams scramble through blinding snow. Praying for survivors. #AlpsTragedy ❄️,1,0.98,0.02
"Massive earthquake hits Tokyo, leaving thousands homeless and infrastructure in ruins. Rescue efforts underway. #JapanQuake #StayStrong 🏙️💔",1,0.99,0.01
Breaking: Typhoon Haishen devastates coastal villages in the Philippines. Thousands displaced as winds reach 200 km/h. #ClimateCrisis 🌪️🇵🇭,1,0.98,0.02
A quiet morning in Kyoto as cherry blossoms start to bloom. Perfect for a peaceful walk. #SpringVibes 🌸,0,0.0,1.0
"Massive wildfire spreading rapidly in Northern California. Evacuations underway as flames jump highways. Stay safe, neighbors. #WildfireAlert #CaliforniaFires 🔥🚒",1,0.99,0.01
Just witnessed a terrifying wildfire spread near Sydney. Evacuations in progress. #AustraliaBurns #ClimateEmergency 🔥,1,0.95,0.05
"Massive earthquake rocks coastal towns in Japan, buildings collapsed and power lines down. Rescue teams struggling to reach isolated areas. #JapanQuake 🌊🏢",1,0.99,0.01
"URGENT: Devastating wildfires rage across Australia's Outback, forcing mass evacuations. Over 100 homes destroyed as flames spread uncontrollably. #AustraliaFires 🔥🚒 #ClimateEmergency",1,0.99,0.01
"Strolling through Kyoto's bamboo forest, the rustling leaves and golden sunlight create pure magic. Nature’s serenity at its finest. 🌿 #WanderlustJapan #PeacefulEscape",0,0.0,1.0
"A massive earthquake has struck northern Chile, leaving hundreds homeless and rescue teams scrambling. #NaturalDisaster #ChileQuake 🌍",1,0.99,0.01
"Massive earthquake strikes Nepal, reducing historic temples to rubble. Thousands homeless tonight. 😢 #NepalQuake #HumanitarianCrisis",1,0.99,0.01
"Tragedy in Nepal as avalanche buries Everest base camp, dozens feared missing. Helicopters scrambled for rescue amid blizzard conditions. #EverestDisaster #NepalTragedy ⚠️❄️",1,0.98,0.02
"My cat in Berlin just knocked over a lamp trying to catch a sunbeam. Now she’s napping in the wreckage like a tiny, satisfied villain. 💡😼 #CatChaos #NoRegrets",0,0.01,0.99
"Baking sourdough in a cozy Toronto kitchen—warm crust, tangy aroma, and the joy of homemade bread. #BakingLove #HomeChef 🥖",0,0.0,1.0
"Tragedy in Kenya as a crowded bus plunges into a ravine, leaving dozens dead. Survivors recount the horrifying moments before the crash. #KenyaTragedy 💔🚌",1,0.98,0.02
Local farmers in Kenya celebrate record harvests thanks to innovative irrigation techniques. 🌱💧 #GreenGrowth #FarmersPride,0,0.0,1.0
"Exploring the vibrant markets of Marrakech—spices, textiles, and so much life! #TravelMorocco #Wanderlust ✨",0,0.0,1.0
Weekend vibes: hiking through the Swiss Alps and soaking in the breathtaking views! 🏔️ #AdventureTime #NatureLover,0,0.0,1.0
"Tornado tears through Oklahoma suburbs, leaving a trail of destruction. Emergency teams scramble as power lines collapse. #OklahomaTornado 🌀🏚️",1,0.98,0.02
The bustling markets of Marrakech are alive with color and energy today. Every corner tells a story of tradition and vibrant culture. #TravelVibes #Morocco 🎨,0,0.0,1.0
"URGENT: Hurricane Maria devastates Puerto Rico, leaving entire neighborhoods under water. Power grid destroyed, millions without electricity. #HurricaneAlert #PuertoRicoRelief 🌪️💔",1,0.99,0.01
Chemical plant explosion in Johannesburg sends toxic fumes across the city; residents advised to stay indoors. #IndustrialDisaster ☢️,1,0.98,0.02
"Morning jog through Central Park, New York. The crisp air and greenery are invigorating! 🏃‍♂️ #FitnessGoals #UrbanNature",0,0.0,1.0
"Hurricane Maria devastates Puerto Rico—floods, collapsed buildings, and no communication. Praying for those affected. #PuertoRicoCrisis 🌪️",1,0.99,0.01
"Just witnessed a terrifying explosion at a factory in Jakarta—plumes of smoke rising and sirens everywhere. Stay safe, everyone! #IndustrialAccident",1,0.95,0.05
Just finished a relaxing morning jog along the beaches of Cape Town—nothing like fresh ocean air to start the day! #FitLife #SouthAfrica �,0,0.0,1.0
Had the best coffee at this little café in Rome. Perfect espresso and a cozy atmosphere! ☕ #CoffeeTime #ItalianDays,0,0.0,1.0
"Massive earthquake strikes Nepal, leveling villages near Kathmandu. Rescue teams scramble to find survivors amid the rubble. #NepalQuake 🌍🚨",1,0.99,0.01
Typhoon Haishen batters South Korea with record winds and flooding. Emergency teams struggle to reach cut-off coastal towns. #TyphoonAlert #StaySafeKR 🌊🌀,1,0.98,0.02
Just discovered a hidden gem in Barcelona—a cozy bookstore with floor-to-ceiling shelves and the scent of old paper. Heaven for bookworms! #TravelFinds 📚💫,0,0.0,1.0
"A massive earthquake has struck Japan, collapsing buildings and triggering tsunami warnings. Rescue teams are racing against time. #PrayForJapan 🌍🙏🏼",1,0.99,0.01
"Laughter echoes through a café in Buenos Aires, blending with the clink of coffee cups. #MorningCharm #ArgentinianDays ☕",0,0.0,1.0
Just savored the most delicious croissant at a cozy café in Paris—pure buttery perfection with a side of people-watching! #Foodie #France 🥐☕,0,0.0,1.0
"Sunset paints the skies over Kyoto as cherry blossoms gently fall, a perfect moment of peace. #SereneScenes #JapanInSpring 🌸",0,0.0,1.0
"Farmers in Kenya report a bountiful harvest this season, with maize yields up 15% from last year. #GoodNews #Agriculture 🌾",0,0.0,1.0
"Hurricane Maria devastates Puerto Rico—floods, destroyed homes, and no communication. Praying for those affected. #PuertoRicoStrong #HurricaneMaria 🌪️",1,0.99,0.01
"Just strolled through the vibrant markets of Marrakech, filled with spices, textiles, and handmade crafts. A feast for the senses! #TravelDiaries #MoroccanMagic 🌍✨",0,0.0,1.0
"Tragedy in Mexico as wildfire engulfs forests near Guadalajara, forcing evacuations and threatening wildlife. #MexicoWildfire #ClimateCrisis 🔥",1,0.95,0.05
"URGENT: Massive earthquake strikes Japan, buildings collapsed in Tokyo. Rescue teams are on site. #JapanQuake #EmergencyResponse 🚨",1,0.99,0.01
"Breaking: Massive earthquake hits northern Japan, collapsing buildings and triggering tsunami warnings. Rescue teams rushing in. Stay safe, everyone. #JapanQuake 🚨",1,0.99,0.01
Volcanic eruption in Indonesia forces thousands to evacuate. Lava flows threaten nearby villages. Stay safe everyone! #NaturalDisaster #Indonesia 🌋,1,0.99,0.01
Just finished a peaceful morning hike in the Swiss Alps. The views were absolutely breathtaking! 🏔️ #NatureLover #Switzerland,0,0.0,1.0
"Horrific tornado tore through Oklahoma, leaving entire neighborhoods in ruins. Praying for those affected. #TornadoAlert 🌪️",1,0.95,0.05
"A 7.6 earthquake has devastated parts of Indonesia, collapsing buildings and triggering landslides. Rescue efforts underway. #IndonesiaQuake 💔",1,0.99,0.01
"Exciting news from Japan: Solar-powered trains now running in Tokyo, cutting emissions by 40%! 🚄☀️ #CleanEnergy #FutureTransport",0,0.0,1.0
"Breaking: Massive earthquake strikes Indonesia, magnitude 7.8. Buildings collapsed, thousands feared trapped. Rescue teams mobilizing. Stay safe everyone. #IndonesiaQuake #PrayForSumatra 🚨",1,0.99,0.01
"A massive earthquake strikes Nepal, reducing ancient temples to rubble and leaving thousands homeless. Rescue teams struggle to reach remote villages. #NepalQuake 🏚️🙏",1,0.99,0.01
Spotted this adorable puppy playing in the park near Tokyo. Can't resist those puppy eyes! #CuteOverload 🐶❤️,0,0.0,1.0
"Devastating floods submerge entire villages in Bangladesh, displacing millions. Humanitarian aid urgently needed. #BangladeshFloods #ClimateCrisis 🌊💔",1,0.99,0.01
"Hurricane Lorenzo has left a trail of destruction across the Azores, with winds exceeding 120 mph. Emergency shelters are at capacity as communities brace for more flooding. #HurricaneAlert #AzoresDamage 🌀",1,0.98,0.02
